prompt-type,target-name,avg-fid,avg-clip
forest,clock,3064.554580811411,0.09504645317792892
forest,wolf,2736.525201407858,0.13816076517105103
forest,wallet,3306.1509387138212,0.08539807051420212
forest,car,2934.504268679768,0.14250548183918
forest,bottle,2964.246046619155,0.09550829976797104
forest,backpack,2724.9970102603693,0.2164531946182251
forest,cat,3740.523859524168,0.12728525698184967
forest,teapot,3814.624168605209,0.15615737438201904
forest,duck,3341.4948068693193,0.13083063066005707
forest,llama,3630.0574991244503,0.055423568934202194
forest,overall,3225.767838061553,0.12427690960466861
city,clock,2449.552091481528,0.14642015099525452
city,wolf,2312.0496474723477,0.0975601077079773
city,wallet,2805.281244356418,0.047717299312353134
city,car,2737.693621048602,0.1379489153623581
city,bottle,2466.2229671916575,0.07545958459377289
city,backpack,2754.106519853929,0.11694114655256271
city,cat,2955.3633286390104,0.06746002286672592
city,teapot,2295.460133765955,0.15611553192138672
city,duck,2514.891839603486,0.11663832515478134
city,llama,2711.635604392868,0.07653852552175522
city,overall,2600.2256997805803,0.10387996099889278
desert,clock,2262.0935557226185,0.11258795112371445
desert,wolf,2004.4327900803328,0.09265534579753876
desert,wallet,2978.2051008197013,0.09663581103086472
desert,car,2254.279115948826,0.13937221467494965
desert,bottle,2156.148326039838,0.10636047273874283
desert,backpack,2067.847892346923,0.12633538246154785
desert,cat,3156.5391896898072,0.09879966080188751
desert,teapot,2719.61388248032,0.1021113395690918
desert,duck,2349.3715972597856,0.13432694971561432
desert,llama,2670.2872495678166,0.08532566577196121
desert,overall,2461.881869995597,0.1094510793685913
painting,clock,2284.8817912571285,0.11218120902776718
painting,wolf,2028.85450618112,0.06620611995458603
painting,wallet,2485.6737974039424,0.08744122087955475
painting,car,2081.1281677931693,0.13631057739257812
painting,bottle,2215.4184352120064,0.10993222147226334
painting,backpack,2305.939544963243,0.09943016618490219
painting,cat,2091.7487683169456,0.08756835013628006
painting,teapot,2226.038181444994,0.06794502586126328
painting,duck,2361.2509448058554,0.12340515106916428
painting,llama,2540.234314190355,0.10581529140472412
painting,overall,2262.116845156876,0.09962353333830834
field,clock,2068.0751967034885,0.14752183854579926
field,wolf,2062.619869337548,0.07829832285642624
field,wallet,2313.4428737664275,0.04812651872634888
field,car,2426.2452828214155,0.1446460783481598
field,bottle,1977.9254294103157,0.055585600435733795
field,backpack,2030.9987623668858,0.19266663491725922
field,cat,2236.703449461609,0.09415247291326523
field,teapot,1857.8055130908178,0.15294845402240753
field,duck,2150.782967324605,0.1095486432313919
field,llama,2323.4234722109977,0.12598922848701477
field,overall,2144.8022816494113,0.11494837924838067
elmo,clock,2373.94232747193,0.08481821417808533
elmo,wolf,1665.3688203427591,0.14921529591083527
elmo,wallet,2534.364844791824,0.08390431851148605
elmo,car,2105.380794457018,0.12113048881292343
elmo,bottle,1925.7333624165185,0.06051332503557205
elmo,backpack,2170.4685025318904,0.08079702407121658
elmo,cat,1879.5257396185916,0.14541268348693848
elmo,teapot,1986.751085514261,0.09726569056510925
elmo,duck,2011.0735023697816,0.17204204201698303
elmo,llama,1337.4759483541166,0.09246080368757248
elmo,overall,1999.008492786869,0.10875598862767219
kitchen,clock,2017.0386900487501,0.0988929271697998
kitchen,wolf,1763.7074136879673,0.09288801997900009
kitchen,wallet,1961.2794077639119,0.10564607381820679
kitchen,car,2456.223718899084,0.08599593490362167
kitchen,bottle,1959.1407110998553,0.07840883731842041
kitchen,backpack,2430.4746465737844,0.13539129495620728
kitchen,cat,2405.244763985276,0.0724218562245369
kitchen,teapot,1664.3758195202245,0.1224220022559166
kitchen,duck,1975.136964289064,0.08192884922027588
kitchen,llama,2146.233507097757,0.09876556694507599
kitchen,overall,2077.8855642965673,0.09727613627910614
bedroom,clock,1791.927526815809,0.15434402227401733
bedroom,wolf,1661.4978839196265,0.1064184233546257
bedroom,wallet,1867.5703314691782,0.08927454799413681
bedroom,car,1829.5520237502787,0.1090908795595169
bedroom,bottle,1785.6504708092107,0.06834977120161057
bedroom,backpack,2021.4748555554688,0.17037241160869598
bedroom,cat,2365.6939035989344,0.11931071430444717
bedroom,teapot,1763.3385338919616,0.15379773080348969
bedroom,duck,2133.6765234675404,0.10290100425481796
bedroom,llama,1899.2732749349088,0.12146385759115219
bedroom,overall,1911.9655328212916,0.11953233629465103
forest_painting,clock,2463.227432722939,0.08623095601797104
forest_painting,wolf,2446.615010658643,0.10029293596744537
forest_painting,wallet,2920.492923796177,0.06314282864332199
forest_painting,car,2503.461597671514,0.14275267720222473
forest_painting,bottle,2707.546685984722,0.0683925673365593
forest_painting,backpack,2654.9918890665867,0.09693893045186996
forest_painting,cat,2805.9374057091773,0.11173200607299805
forest_painting,teapot,2452.3539232284675,0.06579925864934921
forest_painting,duck,2538.4528189843986,0.042777299880981445
forest_painting,llama,2760.1308651306317,0.028248652815818787
forest_painting,overall,2625.3210552953256,0.080630811303854
edit,overall,2367.663908871563,0.1064861261182361
