prompt-type,target-name,avg-fid,avg-clip
basic,clock,1245.1382811250842,0.3949631154537201
basic,wolf,910.0600909335917,0.509537398815155
basic,wallet,403.86934599444794,0.5219920873641968
basic,car,649.0162869563792,0.4475090205669403
basic,bottle,375.73999528117656,0.5748230814933777
basic,backpack,886.825188123621,0.5196895599365234
basic,cat,861.4803036552657,0.5427118539810181
basic,teapot,560.771227494246,0.5448588728904724
basic,duck,1089.0055278072286,0.5726480484008789
basic,llama,927.3202660238749,0.5573117733001709
basic,overall,790.9226513394916,0.5186044812202454
forest,clock,1944.1908674568149,0.2808089256286621
forest,wolf,2328.1512404189125,0.26640138030052185
forest,wallet,3474.8926448160782,0.13702355325222015
forest,car,2318.443608563917,0.3598187565803528
forest,bottle,2808.8589649861824,0.31854549050331116
forest,backpack,2704.5458860773506,0.34260880947113037
forest,cat,2641.1198308608145,0.15805552899837494
forest,teapot,2364.1900379621075,0.29126986861228943
forest,duck,2700.7177633336396,0.2664042115211487
forest,llama,3304.6683152840124,0.08711014688014984
forest,overall,2658.977915975983,0.25080466717481614
city,clock,2320.967182923403,0.19486887753009796
city,wolf,2488.630797371792,0.1756826639175415
city,wallet,2775.750212925079,0.10481657832860947
city,car,1340.2430629638584,0.26196298003196716
city,bottle,1998.1445258991007,0.08719487488269806
city,backpack,2314.7130936947397,0.24033160507678986
city,cat,2159.4166558865836,0.08605736494064331
city,teapot,2261.2955825417885,0.20811696350574493
city,duck,2068.4545456839405,0.2170967310667038
city,llama,2608.5544192838133,0.11404900997877121
city,overall,2233.61700791741,0.16901776492595671
desert,clock,2363.863525332945,0.2798837125301361
desert,wolf,2077.151105970508,0.2527792453765869
desert,wallet,3003.4910502712155,0.1552591621875763
desert,car,1729.5274286529784,0.3418920636177063
desert,bottle,2067.3152832931373,0.26533663272857666
desert,backpack,2118.2462861487293,0.3029085099697113
desert,cat,2192.7988472947945,0.16824360191822052
desert,teapot,2254.090548351538,0.21817849576473236
desert,duck,2502.221586387037,0.30796241760253906
desert,llama,2435.7615430990845,0.12377507984638214
desert,overall,2274.4467204801967,0.24162189215421676
painting,clock,1924.4553740055453,0.23574769496917725
painting,wolf,1902.113018667107,0.2512989640235901
painting,wallet,1966.794137457564,0.18772055208683014
painting,car,2271.8596973279637,0.28375980257987976
painting,bottle,1992.303281345652,0.19118468463420868
painting,backpack,1899.6433610552922,0.24558404088020325
painting,cat,2298.4917995655596,0.2574964761734009
painting,teapot,1518.1877368587338,0.292623370885849
painting,duck,2345.0418380410447,0.1526111215353012
painting,llama,2463.447199686678,0.18355832993984222
painting,overall,2058.233744401114,0.22815850377082825
field,clock,1867.7051864060377,0.18298876285552979
field,wolf,1488.126517734203,0.19950805604457855
field,wallet,2180.3772742459696,0.11178429424762726
field,car,1748.717562706097,0.26265066862106323
field,bottle,1753.7902426788096,0.21097972989082336
field,backpack,2294.731158150593,0.2394559681415558
field,cat,1729.6081401146948,0.15914390981197357
field,teapot,1894.1601974703372,0.24768005311489105
field,duck,1920.128932346648,0.2334173172712326
field,llama,2013.221709718986,0.11261272430419922
field,overall,1889.0566921572376,0.19602214843034743
elmo,clock,1580.646681639264,0.41836148500442505
elmo,wolf,1326.9867297163619,0.3359982371330261
elmo,wallet,1937.1989545331016,0.29104551672935486
elmo,car,1805.879455627466,0.20735855400562286
elmo,bottle,1435.7185700648115,0.38529929518699646
elmo,backpack,2576.3603450004593,0.1908949315547943
elmo,cat,1494.5962424874306,0.2913854122161865
elmo,teapot,1614.1947130743683,0.3915615975856781
elmo,duck,1628.2793019442506,0.31016892194747925
elmo,llama,1008.4967621327414,0.3494332432746887
elmo,overall,1640.8357756220255,0.3171507194638252
kitchen,clock,2261.411788514015,0.189620241522789
kitchen,wolf,1627.6314552212134,0.1479310542345047
kitchen,wallet,2053.4580992069677,0.12520469725131989
kitchen,car,2353.545798734078,0.1640009731054306
kitchen,bottle,1641.8605862085387,0.1306130737066269
kitchen,backpack,2249.400617131978,0.13099876046180725
kitchen,cat,2120.027986361776,0.16205434501171112
kitchen,teapot,1544.3411834808976,0.1784478724002838
kitchen,duck,2166.1477898257,0.15679782629013062
kitchen,llama,2421.22257466265,0.12315212935209274
kitchen,overall,2043.9047879347813,0.15088209733366967
bedroom,clock,1740.0802343647265,0.2863919734954834
bedroom,wolf,1508.6192136924365,0.162006214261055
bedroom,wallet,1612.6814697498921,0.08071591705083847
bedroom,car,1673.7395871738117,0.26090875267982483
bedroom,bottle,1560.6358120572404,0.13414497673511505
bedroom,backpack,1449.5408125603572,0.2663307785987854
bedroom,cat,2228.040503851502,0.08431635797023773
bedroom,teapot,1574.093958817015,0.261723130941391
bedroom,duck,1067.616205596496,0.2700466215610504
bedroom,llama,1831.4949614930808,0.1601312905550003
bedroom,overall,1624.6542759356557,0.19667160138487816
forest_painting,clock,2633.693010640276,0.2762177884578705
forest_painting,wolf,2058.7663331483527,0.35157981514930725
forest_painting,wallet,2864.4351195553318,0.16373351216316223
forest_painting,car,2225.197805010892,0.4064798355102539
forest_painting,bottle,2246.8923708462535,0.21437089145183563
forest_painting,backpack,2381.9684724686413,0.32210513949394226
forest_painting,cat,2021.7137379701635,0.34502753615379333
forest_painting,teapot,2053.123129005602,0.20426206290721893
forest_painting,duck,2082.1934254606167,0.3049643933773041
forest_painting,llama,2785.077303919941,0.25502410531044006
forest_painting,overall,2335.306070802607,0.2843765079975128
overall,overall,2084.336999025223,0.22607843362622793
