CLIP
method, baseline-prompt-clip, baseline-image-clip, baseline-prompt-image-clip, prompt-clip, image-clip
textual-inversion, 0.5303776290681627, 0.6042787104845047, 0.10869029855562579, 0.18177921279437015, 0.4385759234428406
textual-inversion-1500, 0.5241070929500792, 0.6042787104845047, 0.1064861261182361, 0.18411390143964027, 0.4254303514957428
textual-inversion-1000, 0.5295749154355791, 0.6042787104845047, 0.10815444317542847, 0.18745943854252498, 0.4449658215045929
dreambooth, 0.5269189208745957, 0.5176010131835938, 0.12323101104961502, 0.22607843362622793, 0.5186044812202454

FID
method, baseline-prompt-fid, baseline-image-fid, baseline-prompt-image-fid, prompt-fid, image-fid
textual-inversion, -15.76181616783142, -9.834510803222656, 2293.6252683699104, 2157.314758037223, 1021.9470873622279
textual-inversion-1500, -17.415317243999905, -9.834510803222656, 2367.663908871563, 2213.5571504638506, 1050.8772578201144
textual-inversion-1000, -16.983195156521266, -9.834510803222656, 2381.3799751382257, 2181.175619118776, 949.2517930674209
dreambooth, -17.934082701471116, -22.966533660888672, 2247.221629074716, 2084.336999025223, 790.9226513394916
